bank,app_name,app_id,score,installs
Commercial Bank of Ethiopia,Commercial Bank of Ethiopia,,4.325405,"5,000,000+"
Commercial Bank of Ethiopia,CBEBirr Plus,prod.cbe.birr,4.287632,"1,000,000+"
Commercial Bank of Ethiopia,CBE Soft Token,com.cbe.softtoken,4.366337,"100,000+"
Bank of Abyssinia,BoA Mobile,,4.191153,"1,000,000+"
Bank of Abyssinia,BOA 2FA,com.boa.verify,4.33,"100,000+"
Bank of Abyssinia,Commercial Bank of Ethiopia,com.combanketh.mobilebanking,4.325405,"5,000,000+"
Dashen Bank,Dashen Bank,,4.1387663,"1,000,000+"
Dashen Bank,Dashen Mobile,com.cr2.amolelight,4.4159293,"500,000+"
Dashen Bank,MobilePlus Biz,com.amole.agent,4.7777777,"1,000+"
